# timestamp_format: EPOCH_MILLIS
# Created at: Mon Mar  9 21:09:34 2026
 
received_at,protocol,source,msg_type,raw_data
1773086977655,NMEA0183,UDP:localhost:10110,VHALL,"$VHW,74.2,T,76.7,M,2.0,N,3.7,K*54<0D><0A>"
1773086977655,NMEA0183,UDP:localhost:10110,MTALL,"$MTW,18.1,C*1B<0D><0A>"
1773086977655,NMEA0183,UDP:localhost:10110,WIALL,"$WIMWV,167.7,R,10.5,N,A*10<0D><0A>"
1773086977655,NMEA0183,UDP:localhost:10110,WIALL,"$WIMWV,167.7,R,10.5,N,A*10<0D><0A>"
1773086978655,NMEA0183,UDP:localhost:10110,GPALL,"$GPRMC,200938.65,A,4004.4367,N,01500.8376,E,2.1,75.0,090326,2.5,W*79<0D><0A>"
1773086978655,NMEA0183,UDP:localhost:10110,GPALL,"$GPGGA,200938.65,4004.4367,N,01500.8376,E,1,08,0.8,10.0,M,0.0,M,,*66<0D><0A>"
1773086978655,NMEA0183,UDP:localhost:10110,GPALL,"$GPGSA,A,3,19,20,10,32,28,7,26,23,,,,,1.7,1.2,1.4*00<0D><0A>"
1773086978655,NMEA0183,UDP:localhost:10110,GPALL,"$GPGSV,2,1,8,19,41,347,26,20,1,210,29,10,27,55,29,32,53,5,47*4E<0D><0A>"
1773086978655,NMEA0183,UDP:localhost:10110,GPALL,"$GPGSV,2,2,8,28,37,0,27,7,33,119,38,26,11,149,25,23,65,278,30*7C<0D><0A>"
1773086978655,NMEA0183,UDP:localhost:10110,GPALL,"$GPVTG,75.0,T,77.5,M,2.1,N,3.9,K,A*2D<0D><0A>"
1773086978655,NMEA0183,UDP:localhost:10110,IIALL,"$IIHDG,75.0,,,2.5,W*05<0D><0A>"
1773086978655,NMEA0183,UDP:localhost:10110,VHALL,"$VHW,75.0,T,77.5,M,2.1,N,3.9,K*5B<0D><0A>"
1773086978655,NMEA0183,UDP:localhost:10110,MTALL,"$MTW,18.1,C*1B<0D><0A>"
1773086978656,NMEA0183,UDP:localhost:10110,WIALL,"$WIMWV,140.5,R,11.4,N,A*17<0D><0A>"
1773086978656,NMEA0183,UDP:localhost:10110,WIALL,"$WIMWV,140.5,R,11.4,N,A*17<0D><0A>"
1773086979656,NMEA0183,UDP:localhost:10110,GPALL,"$GPRMC,200939.65,A,4004.4368,N,01500.8383,E,2.0,74.9,090326,2.5,W*74<0D><0A>"
1773086979656,NMEA0183,UDP:localhost:10110,GPALL,"$GPGGA,200939.65,4004.4368,N,01500.8383,E,1,10,1.4,10.0,M,0.0,M,,*66<0D><0A>"
1773086979657,NMEA0183,UDP:localhost:10110,GPALL,"$GPGSA,A,3,3,22,20,13,4,27,21,8,10,30,,,1.9,1.4,1.2*07<0D><0A>"
1773086979657,NMEA0183,UDP:localhost:10110,GPALL,"$GPGSV,3,1,10,3,0,84,45,22,71,68,27,20,80,121,20,13,53,169,46*7B<0D><0A>"
1773086979657,NMEA0183,UDP:localhost:10110,GPALL,"$GPGSV,3,2,10,4,53,262,50,27,62,130,27,21,75,107,25,8,64,250,48*7F<0D><0A>"
1773086979657,NMEA0183,UDP:localhost:10110,GPALL,"$GPGSV,3,3,10,10,65,270,48,30,45,295,49*72<0D><0A>"
1773086979657,NMEA0183,UDP:localhost:10110,GPALL,"$GPVTG,74.9,T,77.4,M,2.0,N,3.8,K,A*24<0D><0A>"
1773086979657,NMEA0183,UDP:localhost:10110,IIALL,"$IIHDG,74.9,,,2.5,W*0D<0D><0A>"
1773086979657,NMEA0183,UDP:localhost:10110,VHALL,"$VHW,74.9,T,77.4,M,2.0,N,3.8,K*52<0D><0A>"
1773086979657,NMEA0183,UDP:localhost:10110,MTALL,"$MTW,18.1,C*1B<0D><0A>"
1773086979657,NMEA0183,UDP:localhost:10110,WIALL,"$WIMWV,161.3,R,11.8,N,A*1E<0D><0A>"
1773086979657,NMEA0183,UDP:localhost:10110,WIALL,"$WIMWV,161.3,R,11.8,N,A*1E<0D><0A>"
1773086980657,NMEA0183,UDP:localhost:10110,GPALL,"$GPRMC,200940.65,A,4004.4370,N,01500.8390,E,2.0,76.1,090326,2.5,W*7B<0D><0A>"
1773086980657,NMEA0183,UDP:localhost:10110,GPALL,"$GPGGA,200940.65,4004.4370,N,01500.8390,E,1,06,1.5,10.0,M,0.0,M,,*65<0D><0A>"
1773086980657,NMEA0183,UDP:localhost:10110,GPALL,"$GPGSA,A,3,18,15,31,4,1,21,,,,,,,1.4,0.8,2.4*30<0D><0A>"
1773086980657,NMEA0183,UDP:localhost:10110,GPALL,"$GPGSV,2,1,6,18,88,335,26,15,90,345,43,31,41,140,24,4,4,219,36*47<0D><0A>"
1773086980657,NMEA0183,UDP:localhost:10110,GPALL,"$GPGSV,2,2,6,1,82,274,35,21,39,57,45*49<0D><0A>"
1773086980658,NMEA0183,UDP:localhost:10110,GPALL,"$GPVTG,76.1,T,78.6,M,2.0,N,3.7,K,A*2C<0D><0A>"
1773086980658,NMEA0183,UDP:localhost:10110,IIALL,"$IIHDG,76.1,,,2.5,W*07<0D><0A>"
1773086980658,NMEA0183,UDP:localhost:10110,VHALL,"$VHW,76.1,T,78.6,M,2.0,N,3.7,K*5A<0D><0A>"
1773086980658,NMEA0183,UDP:localhost:10110,MTALL,"$MTW,18.1,C*1B<0D><0A>"
1773086980658,NMEA0183,UDP:localhost:10110,WIALL,"$WIMWV,155.3,R,14.1,N,A*15<0D><0A>"
1773086980658,NMEA0183,UDP:localhost:10110,WIALL,"$WIMWV,155.3,R,14.1,N,A*15<0D><0A>"
1773086981667,NMEA0183,UDP:localhost:10110,GPALL,"$GPRMC,200941.65,A,4004.4371,N,01500.8397,E,1.8,78.0,090326,2.5,W*78<0D><0A>"
1773086981667,NMEA0183,UDP:localhost:10110,GPALL,"$GPGGA,200941.65,4004.4371,N,01500.8397,E,1,09,1.0,10.0,M,0.0,M,,*68<0D><0A>"
1773086981667,NMEA0183,UDP:localhost:10110,GPALL,"$GPGSA,A,3,6,10,32,17,20,11,7,24,9,,,,2.1,1.4,1.7*08<0D><0A>"
1773086981667,NMEA0183,UDP:localhost:10110,GPALL,"$GPGSV,3,1,9,6,52,162,47,10,75,35,44,32,9,38,24,17,48,56,20*7E<0D><0A>"
1773086981667,NMEA0183,UDP:localhost:10110,GPALL,"$GPGSV,3,2,9,20,43,303,21,11,90,168,24,7,76,359,43,24,21,159,50*74<0D><0A>"
1773086981667,NMEA0183,UDP:localhost:10110,GPALL,"$GPGSV,3,3,9,9,76,106,25*48<0D><0A>"
1773086981667,NMEA0183,UDP:localhost:10110,GPALL,"$GPVTG,78.0,T,80.5,M,1.8,N,3.4,K,A*2F<0D><0A>"
1773086981667,NMEA0183,UDP:localhost:10110,IIALL,"$IIHDG,78.0,,,2.5,W*08<0D><0A>"
1773086981667,NMEA0183,UDP:localhost:10110,VHALL,"$VHW,78.0,T,80.5,M,1.8,N,3.4,K*59<0D><0A>"
1773086981667,NMEA0183,UDP:localhost:10110,MTALL,"$MTW,18.0,C*1A<0D><0A>"
1773086981667,NMEA0183,UDP:localhost:10110,WIALL,"$WIMWV,164.4,R,14.1,N,A*10<0D><0A>"
1773086981668,NMEA0183,UDP:localhost:10110,WIALL,"$WIMWV,164.4,R,14.1,N,A*10<0D><0A>"
1773086982660,NMEA0183,UDP:localhost:10110,GPALL,"$GPRMC,200942.65,A,4004.4372,N,01500.8404,E,1.9,79.7,090326,2.5,W*72<0D><0A>"
1773086982660,NMEA0183,UDP:localhost:10110,GPALL,"$GPGGA,200942.65,4004.4372,N,01500.8404,E,1,12,1.7,10.0,M,0.0,M,,*68<0D><0A>"
1773086982660,NMEA0183,UDP:localhost:10110,GPALL,"$GPGSA,A,3,10,28,13,15,24,26,2,11,14,6,31,7,1.9,1.2,1.0*03<0D><0A>"
1773086982660,NMEA0183,UDP:localhost:10110,GPALL,"$GPGSV,3,1,12,10,8,14,50,28,17,89,20,13,16,138,33,15,77,5,39*4A<0D><0A>"
1773086982660,NMEA0183,UDP:localhost:10110,GPALL,"$GPGSV,3,2,12,24,43,302,29,26,38,309,44,2,12,55,30,11,17,213,38*7A<0D><0A>"
1773086982660,NMEA0183,UDP:localhost:10110,GPALL,"$GPGSV,3,3,12,14,12,276,35,6,84,145,42,31,23,331,22,7,49,281,21*75<0D><0A>"
1773086982660,NMEA0183,UDP:localhost:10110,GPALL,"$GPVTG,79.7,T,82.2,M,1.9,N,3.4,K,A*2D<0D><0A>"
1773086982660,NMEA0183,UDP:localhost:10110,IIALL,"$IIHDG,79.7,,,2.5,W*0E<0D><0A>"
1773086982660,NMEA0183,UDP:localhost:10110,VHALL,"$VHW,79.7,T,82.2,M,1.9,N,3.4,K*5B<0D><0A>"
1773086982660,NMEA0183,UDP:localhost:10110,MTALL,"$MTW,18.1,C*1B<0D><0A>"
1773086982660,NMEA0183,UDP:localhost:10110,WIALL,"$WIMWV,176.6,R,10.8,N,A*1C<0D><0A>"
1773086982661,NMEA0183,UDP:localhost:10110,WIALL,"$WIMWV,176.6,R,10.8,N,A*1C<0D><0A>"
1773086983954,NMEA0183,UDP:localhost:10110,GPALL,"$GPRMC,200943.65,A,4004.4373,N,01500.8410,E,1.7,79.5,090326,2.5,W*7B<0D><0A>"
1773086983954,NMEA0183,UDP:localhost:10110,GPALL,"$GPGGA,200943.65,4004.4373,N,01500.8410,E,1,07,1.5,10.0,M,0.0,M,,*6B<0D><0A>"
1773086983954,NMEA0183,UDP:localhost:10110,GPALL,"$GPGSA,A,3,27,25,2,21,7,12,15,,,,,,1.6,0.9,1.1*3F<0D><0A>"
1773086983954,NMEA0183,UDP:localhost:10110,GPALL,"$GPGSV,2,1,7,27,32,352,40,25,68,273,38,2,82,52,25,21,75,118,35*4A<0D><0A>"
1773086983954,NMEA0183,UDP:localhost:10110,GPALL,"$GPGSV,2,2,7,7,42,78,44,12,80,264,44,15,76,167,35*78<0D><0A>"
1773086983954,NMEA0183,UDP:localhost:10110,GPALL,"$GPVTG,79.5,T,82.0,M,1.7,N,3.2,K,A*25<0D><0A>"
1773086983954,NMEA0183,UDP:localhost:10110,IIALL,"$IIHDG,79.5,,,2.5,W*0C<0D><0A>"
1773086983954,NMEA0183,UDP:localhost:10110,VHALL,"$VHW,79.5,T,82.0,M,1.7,N,3.2,K*53<0D><0A>"
1773086983954,NMEA0183,UDP:localhost:10110,MTALL,"$MTW,18.1,C*1B<0D><0A>"
1773086983954,NMEA0183,UDP:localhost:10110,WIALL,"$WIMWV,179.1,R,10.8,N,A*14<0D><0A>"
1773086983954,NMEA0183,UDP:localhost:10110,WIALL,"$WIMWV,179.1,R,10.8,N,A*14<0D><0A>"
1773086984664,NMEA0183,UDP:localhost:10110,GPALL,"$GPRMC,200944.65,A,4004.4374,N,01500.8416,E,1.7,79.3,090326,2.5,W*7B<0D><0A>"
1773086984664,NMEA0183,UDP:localhost:10110,GPALL,"$GPGGA,200944.65,4004.4374,N,01500.8416,E,1,10,1.8,10.0,M,0.0,M,,*66<0D><0A>"
1773086984664,NMEA0183,UDP:localhost:10110,GPALL,"$GPGSA,A,3,28,2,27,25,31,32,4,29,30,7,,,1.2,0.7,0.8*0C<0D><0A>"
1773086984664,NMEA0183,UDP:localhost:10110,GPALL,"$GPGSV,3,1,10,28,71,260,40,2,43,188,31,27,74,268,45,25,60,170,47*4F<0D><0A>"
1773086984664,NMEA0183,UDP:localhost:10110,GPALL,"$GPGSV,3,2,10,31,40,308,37,32,31,87,25,4,81,154,21,29,34,148,42*72<0D><0A>"
1773086984664,NMEA0183,UDP:localhost:10110,GPALL,"$GPGSV,3,3,10,30,35,7,27,7,88,235,20*4E<0D><0A>"
1773086984665,NMEA0183,UDP:localhost:10110,GPALL,"$GPVTG,79.3,T,81.8,M,1.7,N,3.1,K,A*2B<0D><0A>"
1773086984665,NMEA0183,UDP:localhost:10110,IIALL,"$IIHDG,79.3,,,2.5,W*0A<0D><0A>"
1773086984665,NMEA0183,UDP:localhost:10110,VHALL,"$VHW,79.3,T,81.8,M,1.7,N,3.1,K*5D<0D><0A>"
1773086984665,NMEA0183,UDP:localhost:10110,MTALL,"$MTW,18.0,C*1A<0D><0A>"
1773086984665,NMEA0183,UDP:localhost:10110,WIALL,"$WIMWV,154.1,R,8.3,N,A*29<0D><0A>"
1773086984665,NMEA0183,UDP:localhost:10110,WIALL,"$WIMWV,154.1,R,8.3,N,A*29<0D><0A>"
1773086985663,NMEA0183,UDP:localhost:10110,GPALL,"$GPRMC,200945.66,A,4004.4375,N,01500.8422,E,1.6,78.0,090326,2.5,W*7C<0D><0A>"
1773086985663,NMEA0183,UDP:localhost:10110,GPALL,"$GPGGA,200945.66,4004.4375,N,01500.8422,E,1,09,1.3,10.0,M,0.0,M,,*61<0D><0A>"
1773086985663,NMEA0183,UDP:localhost:10110,GPALL,"$GPGSA,A,3,26,2,13,32,24,25,27,29,17,,,,2.3,1.6,2.0*0A<0D><0A>"
1773086985663,NMEA0183,UDP:localhost:10110,GPALL,"$GPGSV,3,1,9,26,49,98,27,2,31,311,44,13,35,339,26,32,73,157,32*42<0D><0A>"
1773086985663,NMEA0183,UDP:localhost:10110,GPALL,"$GPGSV,3,2,9,24,69,289,47,25,73,135,26,27,53,103,32,29,75,93,21*78<0D><0A>"
1773086985663,NMEA0183,UDP:localhost:10110,GPALL,"$GPGSV,3,3,9,17,5,105,31*45<0D><0A>"
1773086985663,NMEA0183,UDP:localhost:10110,GPALL,"$GPVTG,78.0,T,80.5,M,1.6,N,3.0,K,A*25<0D><0A>"
1773086985663,NMEA0183,UDP:localhost:10110,IIALL,"$IIHDG,78.0,,,2.5,W*08<0D><0A>"
1773086985664,NMEA0183,UDP:localhost:10110,VHALL,"$VHW,78.0,T,80.5,M,1.6,N,3.0,K*53<0D><0A>"
1773086985664,NMEA0183,UDP:localhost:10110,MTALL,"$MTW,18.1,C*1B<0D><0A>"
1773086985664,NMEA0183,UDP:localhost:10110,WIALL,"$WIMWV,174.7,R,12.1,N,A*14<0D><0A>"
1773086985664,NMEA0183,UDP:localhost:10110,WIALL,"$WIMWV,174.7,R,12.1,N,A*14<0D><0A>"
1773086986664,NMEA0183,UDP:localhost:10110,GPALL,"$GPRMC,200946.66,A,4004.4376,N,01500.8428,E,1.5,76.9,090326,2.5,W*72<0D><0A>"
1773086986664,NMEA0183,UDP:localhost:10110,GPALL,"$GPGGA,200946.66,4004.4376,N,01500.8428,E,1,05,1.7,10.0,M,0.0,M,,*63<0D><0A>"
1773086986664,NMEA0183,UDP:localhost:10110,GPALL,"$GPGSA,A,3,4,13,20,3,17,,,,,,,,1.8,1.7,1.0*3D<0D><0A>"
1773086986664,NMEA0183,UDP:localhost:10110,GPALL,"$GPGSV,2,1,5,4,19,231,22,13,83,68,43,20,19,266,41,3,8,23,42*72<0D><0A>"
1773086986664,NMEA0183,UDP:localhost:10110,GPALL,"$GPGSV,2,2,5,17,43,342,36*7D<0D><0A>"
1773086986664,NMEA0183,UDP:localhost:10110,GPALL,"$GPVTG,76.9,T,79.4,M,1.5,N,2.8,K,A*2F<0D><0A>"
1773086986664,NMEA0183,UDP:localhost:10110,IIALL,"$IIHDG,76.9,,,2.5,W*0F<0D><0A>"
1773086986664,NMEA0183,UDP:localhost:10110,VHALL,"$VHW,76.9,T,79.4,M,1.5,N,2.8,K*59<0D><0A>"
1773086986664,NMEA0183,UDP:localhost:10110,MTALL,"$MTW,18.1,C*1B<0D><0A>"
1773086986664,NMEA0183,UDP:localhost:10110,WIALL,"$WIMWV,143.0,R,11.9,N,A*1C<0D><0A>"
1773086986664,NMEA0183,UDP:localhost:10110,WIALL,"$WIMWV,143.0,R,11.9,N,A*1C<0D><0A>"
1773086987678,NMEA0183,UDP:localhost:10110,GPALL,"$GPRMC,200947.66,A,4004.4377,N,01500.8433,E,1.6,76.4,090326,2.5,W*76<0D><0A>"
1773086987678,NMEA0183,UDP:localhost:10110,GPALL,"$GPGGA,200947.66,4004.4377,N,01500.8433,E,1,10,1.3,10.0,M,0.0,M,,*69<0D><0A>"
1773086987678,NMEA0183,UDP:localhost:10110,GPALL,"$GPGSA,A,3,27,7,3,20,25,9,19,23,16,29,,,2.1,0.8,1.6*06<0D><0A>"
1773086987678,NMEA0183,UDP:localhost:10110,GPALL,"$GPGSV,3,1,10,27,11,42,32,7,63,81,33,3,60,332,43,20,42,151,23*73<0D><0A>"
1773086987678,NMEA0183,UDP:localhost:10110,GPALL,"$GPGSV,3,2,10,25,29,152,40,9,43,100,43,19,14,85,47,23,75,76,35*48<0D><0A>"
1773086987678,NMEA0183,UDP:localhost:10110,GPALL,"$GPGSV,3,3,10,16,81,30,46,29,14,53,40*7B<0D><0A>"
1773086987678,NMEA0183,UDP:localhost:10110,GPALL,"$GPVTG,76.4,T,78.9,M,1.6,N,2.9,K,A*2C<0D><0A>"
1773086987678,NMEA0183,UDP:localhost:10110,IIALL,"$IIHDG,76.4,,,2.5,W*02<0D><0A>"
1773086987678,NMEA0183,UDP:localhost:10110,VHALL,"$VHW,76.4,T,78.9,M,1.6,N,2.9,K*5A<0D><0A>"
1773086987678,NMEA0183,UDP:localhost:10110,MTALL,"$MTW,18.1,C*1B<0D><0A>"
1773086987678,NMEA0183,UDP:localhost:10110,WIALL,"$WIMWV,163.5,R,11.7,N,A*15<0D><0A>"
1773086987678,NMEA0183,UDP:localhost:10110,WIALL,"$WIMWV,163.5,R,11.7,N,A*15<0D><0A>"
1773086988666,NMEA0183,UDP:localhost:10110,GPALL,"$GPRMC,200948.66,A,4004.4378,N,01500.8439,E,1.4,75.4,090326,2.5,W*7D<0D><0A>"
1773086988666,NMEA0183,UDP:localhost:10110,GPALL,"$GPGGA,200948.66,4004.4378,N,01500.8439,E,1,07,1.4,10.0,M,0.0,M,,*62<0D><0A>"
1773086988666,NMEA0183,UDP:localhost:10110,GPALL,"$GPGSA,A,3,3,9,31,7,27,5,6,,,,,,1.3,1.4,1.1*0C<0D><0A>"
1773086988666,NMEA0183,UDP:localhost:10110,GPALL,"$GPGSV,2,1,7,3,62,336,48,9,87,79,28,31,33,66,47,7,4,13,45*73<0D><0A>"
1773086988666,NMEA0183,UDP:localhost:10110,GPALL,"$GPGSV,2,2,7,27,57,113,22,5,10,250,40,6,10,71,39*46<0D><0A>"
1773086988666,NMEA0183,UDP:localhost:10110,GPALL,"$GPVTG,75.4,T,77.9,M,1.4,N,2.6,K,A*2D<0D><0A>"
1773086988666,NMEA0183,UDP:localhost:10110,IIALL,"$IIHDG,75.4,,,2.5,W*01<0D><0A>"
1773086988666,NMEA0183,UDP:localhost:10110,VHALL,"$VHW,75.4,T,77.9,M,1.4,N,2.6,K*5B<0D><0A>"
1773086988666,NMEA0183,UDP:localhost:10110,MTALL,"$MTW,18.1,C*1B<0D><0A>"
1773086988666,NMEA0183,UDP:localhost:10110,WIALL,"$WIMWV,181.2,R,12.6,N,A*1C<0D><0A>"
1773086988667,NMEA0183,UDP:localhost:10110,WIALL,"$WIMWV,181.2,R,12.6,N,A*1C<0D><0A>"
1773086989667,NMEA0183,UDP:localhost:10110,GPALL,"$GPRMC,200949.66,A,4004.4379,N,01500.8444,E,1.6,74.6,090326,2.5,W*76<0D><0A>"
1773086989667,NMEA0183,UDP:localhost:10110,GPALL,"$GPGGA,200949.66,4004.4379,N,01500.8444,E,1,12,1.4,10.0,M,0.0,M,,*6C<0D><0A>"
1773086989667,NMEA0183,UDP:localhost:10110,GPALL,"$GPGSA,A,3,31,13,3,18,29,27,21,7,16,23,19,24,2.3,1.5,2.3*3E<0D><0A>"
1773086989667,NMEA0183,UDP:localhost:10110,GPALL,"$GPGSV,3,1,12,31,41,216,23,13,28,229,34,3,3,119,40,18,43,165,49*71<0D><0A>"
1773086989667,NMEA0183,UDP:localhost:10110,GPALL,"$GPGSV,3,2,12,29,69,261,37,27,7,301,24,21,20,113,25,7,37,294,38*7A<0D><0A>"
1773086989667,NMEA0183,UDP:localhost:10110,GPALL,"$GPGSV,3,3,12,16,46,83,32,23,16,31,45,19,22,174,41,24,90,213,33*70<0D><0A>"
1773086989667,NMEA0183,UDP:localhost:10110,GPALL,"$GPVTG,74.6,T,77.1,M,1.6,N,3.0,K,A*23<0D><0A>"
1773086989667,NMEA0183,UDP:localhost:10110,IIALL,"$IIHDG,74.6,,,2.5,W*02<0D><0A>"
1773086989667,NMEA0183,UDP:localhost:10110,VHALL,"$VHW,74.6,T,77.1,M,1.6,N,3.0,K*55<0D><0A>"
1773086989667,NMEA0183,UDP:localhost:10110,MTALL,"$MTW,18.0,C*1A<0D><0A>"
1773086989667,NMEA0183,UDP:localhost:10110,WIALL,"$WIMWV,143.9,R,10.6,N,A*1B<0D><0A>"
1773086989667,NMEA0183,UDP:localhost:10110,WIALL,"$WIMWV,143.9,R,10.6,N,A*1B<0D><0A>"
1773086990666,NMEA0183,UDP:localhost:10110,GPALL,"$GPRMC,200950.66,A,4004.4380,N,01500.8450,E,1.6,73.6,090326,2.5,W*7A<0D><0A>"
1773086990666,NMEA0183,UDP:localhost:10110,GPALL,"$GPGGA,200950.66,4004.4380,N,01500.8450,E,1,11,1.5,10.0,M,0.0,M,,*65<0D><0A>"
1773086990666,NMEA0183,UDP:localhost:10110,GPALL,"$GPGSA,A,3,14,3,19,5,2,11,25,29,27,1,16,,2.3,1.4,1.4*35<0D><0A>"
1773086990666,NMEA0183,UDP:localhost:10110,GPALL,"$GPGSV,3,1,11,14,44,44,22,3,33,213,26,19,56,205,31,5,5,106,50*75<0D><0A>"
1773086990666,NMEA0183,UDP:localhost:10110,GPALL,"$GPGSV,3,2,11,2,25,28,39,11,72,167,24,25,50,112,28,29,65,34,30*48<0D><0A>"
1773086990666,NMEA0183,UDP:localhost:10110,GPALL,"$GPGSV,3,3,11,27,19,323,48,1,0,344,24,16,13,23,47*79<0D><0A>"
1773086990666,NMEA0183,UDP:localhost:10110,GPALL,"$GPVTG,73.6,T,76.1,M,1.6,N,2.9,K,A*2D<0D><0A>"
1773086990666,NMEA0183,UDP:localhost:10110,IIALL,"$IIHDG,73.6,,,2.5,W*05<0D><0A>"
1773086990667,NMEA0183,UDP:localhost:10110,VHALL,"$VHW,73.6,T,76.1,M,1.6,N,2.9,K*5B<0D><0A>"
1773086990667,NMEA0183,UDP:localhost:10110,MTALL,"$MTW,18.0,C*1A<0D><0A>"
1773086990667,NMEA0183,UDP:localhost:10110,WIALL,"$WIMWV,146.3,R,10.9,N,A*1B<0D><0A>"
1773086990667,NMEA0183,UDP:localhost:10110,WIALL,"$WIMWV,146.3,R,10.9,N,A*1B<0D><0A>"
1773086991669,NMEA0183,UDP:localhost:10110,GPALL,"$GPRMC,200951.66,A,4004.4381,N,01500.8455,E,1.6,71.6,090326,2.5,W*7D<0D><0A>"
1773086991669,NMEA0183,UDP:localhost:10110,GPALL,"$GPGGA,200951.66,4004.4381,N,01500.8455,E,1,09,1.7,10.0,M,0.0,M,,*6B<0D><0A>"
1773086991669,NMEA0183,UDP:localhost:10110,GPALL,"$GPGSA,A,3,15,29,24,26,3,31,21,20,23,,,,1.0,1.5,1.7*0D<0D><0A>"
